"Position","Name","Game","Salary","AvgPointsPerGame","Played","Team","Opponent","Injury Indicator","",
"WR","DeAndre Hopkins","HOU@MIA","9200","21.8","6","HOU","MIA","",
"WR","Julio Jones","ATL@TEN","9100","19.7","6","ATL","TEN","",
"QB","Tom Brady","NYJ@NE","9000","25.5","5","NE","NYJ","",
"WR","Odell Beckham Jr.","DAL@NYG","9000","15.4","6","NYG","DAL","Q","",
"RB","Le'Veon Bell","PIT@KC","8900","19.2","4","PIT","KC","",
"QB","Andrew Luck","NO@IND","8900","18.9","4","IND","NO","",
"RB","Adrian Peterson","MIN@DET","8900","14.6","5","MIN","DET","Q","",
"RB","Devonta Freeman","ATL@TEN","8700","26","6","ATL","TEN","",
"RB","Arian Foster","HOU@MIA","8600","13","3","HOU","MIA","P","",
"QB","Ben Roethlisberger","PIT@KC","8400","16.8","3","PIT","KC","Q","",
"WR","Calvin Johnson","MIN@DET","8400","13","6","DET","MIN","P","",
"QB","Drew Brees","NO@IND","8400","17.2","5","NO","IND","",
"WR","Antonio Brown","PIT@KC","8300","14.8","6","PIT","KC","",
"QB","Carson Palmer","BAL@ARI","8200","20.2","6","ARI","BAL","",
"WR","Brandon Marshall","NYJ@NE","8200","17.9","5","NYJ","NE","P","",
"QB","Cam Newton","PHI@CAR","8100","21.9","5","CAR","PHI","",
"QB","Matt Ryan","ATL@TEN","8100","16.5","6","ATL","TEN","",
"WR","Keenan Allen","OAK@SD","8100","17.1","6","SD","OAK","Q","",
"TE","Rob Gronkowski","NYJ@NE","8100","16.8","5","NE","NYJ","",
"QB","Philip Rivers","OAK@SD","8000","20.6","6","SD","OAK","",
"WR","Julian Edelman","NYJ@NE","8000","18.2","5","NE","NYJ","",
"RB","Christopher Ivory","NYJ@NE","7800","19.8","4","NYJ","NE","",
"QB","Eli Manning","DAL@NYG","7800","17.9","6","NYG","DAL","",
"WR","Larry Fitzgerald","BAL@ARI","7800","19","6","ARI","BAL","P","",
"QB","Ryan Tannehill","HOU@MIA","7700","17","5","MIA","HOU","",
"QB","Sam Bradford","PHI@CAR","7700","15","6","PHI","CAR","",
"WR","T.Y. Hilton","NO@IND","7700","11.4","6","IND","NO","",
"RB","Mark Ingram","NO@IND","7600","14.9","6","NO","IND","",
"RB","DeMarco Murray","PHI@CAR","7600","14.3","5","PHI","CAR","",
"WR","Mike Evans","TB@WAS","7500","6","4","TB","WAS","",
"QB","Joe Flacco","BAL@ARI","7500","16.6","6","BAL","ARI","",
"QB","Matthew Stafford","MIN@DET","7400","16.5","6","DET","MIN","",
"RB","Todd Gurley","CLE@STL","7400","11.6","3","STL","CLE","",
"WR","Amari Cooper","OAK@SD","7300","12.6","5","OAK","SD","",
"RB","Doug Martin","TB@WAS","7200","15.5","5","TB","WAS","",
"QB","Ryan Fitzpatrick","NYJ@NE","7100","18.1","5","NYJ","NE","P","",
"WR","Jarvis Landry","HOU@MIA","7100","13.6","5","MIA","HOU","",
"RB","Frank Gore","NO@IND","7100","11","6","IND","NO","",
"RB","Justin Forsett","BAL@ARI","7100","12.7","6","BAL","ARI","",
"RB","Latavius Murray","OAK@SD","7000","12.8","5","OAK","SD","P","",
"RB","Dion Lewis","NYJ@NE","7000","14.9","5","NE","NYJ","Q","",
"RB","Chris Johnson","BAL@ARI","6900","10.8","6","ARI","BAL","",
"WR","Jeremy Maclin","PIT@KC","6900","13.1","6","KC","PIT","Q","",
"WR","Martavis Bryant","PIT@KC","6900","21.5","1","PIT","KC","",
"QB","Josh McCown","CLE@STL","6900","18.1","5","CLE","STL","",
"QB","Brian Hoyer","HOU@MIA","6900","18.2","4","HOU","MIA","",
"WR","Steve Smith","BAL@ARI","6900","17.4","5","BAL","ARI","",
"RB","LeGarrette Blount","NYJ@NE","6800","14.6","4","NE","NYJ","",
"RB","Joseph Randle","DAL@NYG","6800","13.3","5","DAL","NYG","",
"QB","Alex Smith","PIT@KC","6800","16","6","KC","PIT","P","",
"WR","Vincent Jackson","TB@WAS","6800","10.9","5","TB","WAS","",
"WR","Brandin Cooks","NO@IND","6700","9.5","6","NO","IND","",
"QB","Derek Carr","OAK@SD","6700","14.9","5","OAK","SD","",
"WR","John Brown","BAL@ARI","6700","12.9","6","ARI","BAL","Q","",
"WR","Golden Tate","MIN@DET","6700","8.6","6","DET","MIN","P","",
"RB","Jonathan Stewart","PHI@CAR","6700","9.6","5","CAR","PHI","",
"RB","Lamar Miller","HOU@MIA","6700","9.1","5","MIA","HOU","",
"QB","Teddy Bridgewater","MIN@DET","6600","11.7","5","MIN","DET","",
"WR","Jordan Matthews","PHI@CAR","6600","10.1","6","PHI","CAR","",
"WR","Travis Benjamin","CLE@STL","6600","16.1","6","CLE","STL","",
"WR","Donte Moncrief","NO@IND","6500","12.3","6","IND","NO","",
"QB","Johnny Manziel","CLE@STL","6500","12.4","2","CLE","STL","P","",
"WR","Willie Snead","NO@IND","6500","10.1","6","NO","IND","",
"WR","Brandon LaFell","NYJ@NE","6500","10.9","16","NE","NYJ","",
"RB","Melvin Gordon","OAK@SD","6500","6.5","6","SD","OAK","Q","",
"QB","Jameis Winston","TB@WAS","6500","15.6","5","TB","WAS","",
"QB","Brandon Weeden","DAL@NYG","6400","9.6","4","DAL","NYG","",
"TE","Greg Olsen","PHI@CAR","6400","13.5","5","CAR","PHI","",
"WR","Rishard Matthews","HOU@MIA","6400","13.2","5","MIA","HOU","",
"QB","Matt Cassel","DAL@NYG","6400","0","1","DAL","NYG","",
"QB","Nick Foles","CLE@STL","6400","12.3","5","STL","CLE","",
"QB","Ryan Mallett","HOU@MIA","6300","7.6","6","HOU","MIA","",
"RB","Rashad Jennings","DAL@NYG","6300","9.1","6","NYG","DAL","",
"QB","Kirk Cousins","TB@WAS","6300","13.2","6","WAS","TB","",
"WR","Eric Decker","NYJ@NE","6200","13.7","4","NYJ","NE","P","",
"QB","Matt Hasselbeck","NO@IND","6100","15.8","2","IND","NO","",
"QB","Mark Sanchez","PHI@CAR","6100","16.7","9","PHI","CAR","",
"WR","Pierre Garcon","TB@WAS","6100","10.6","6","WAS","TB","",
"TE","Travis Kelce","PIT@KC","6000","11.4","6","KC","PIT","P","",
"RB","Isaiah Crowell","CLE@STL","6000","9.3","6","CLE","STL","",
"QB","Landry Jones","PIT@KC","6000","14.6","1","PIT","KC","",
"RB","Danny Woodhead","OAK@SD","6000","12.4","6","SD","OAK","",
"RB","Darren McFadden","DAL@NYG","6000","7","5","DAL","NYG","",
"TE","Gary Barnidge","CLE@STL","5900","14.1","6","CLE","STL","P","",
"RB","Charcandrick West","PIT@KC","5900","1.5","6","KC","PIT","",
"QB","Zach Mettenberger","ATL@TEN","5900","1.2","2","TEN","ATL","",
"WR","Michael Crabtree","OAK@SD","5900","10.3","5","OAK","SD","",
"WR","Terrance Williams","DAL@NYG","5900","8.3","5","DAL","NYG","",
"WR","Tavon Austin","CLE@STL","5800","12.5","5","STL","CLE","Q","",
"WR","Jamison Crowder","TB@WAS","5800","6.7","6","WAS","TB","",
"QB","Luke McCown","NO@IND","5800","1.9","6","NO","IND","",
"TE","Antonio Gates","OAK@SD","5800","19.9","2","SD","OAK","Q","",
"WR","Stefon Diggs","MIN@DET","5800","14.1","2","MIN","DET","",
"WR","Rueben Randle","DAL@NYG","5700","8.4","6","NYG","DAL","P","",
"RB","Ameer Abdullah","MIN@DET","5700","7.6","6","DET","MIN","",
"WR","Kendall Wright","ATL@TEN","5700","10.2","5","TEN","ATL","",
"WR","Steve Johnson","OAK@SD","5700","10.4","4","SD","OAK","Q","",
"WR","Leonard Hankerson","ATL@TEN","5700","8.7","6","ATL","TEN","P","",
"RB","Roy Helu","OAK@SD","5700","3.9","4","OAK","SD","",
"QB","Matt Flynn","NYJ@NE","5700","-0.2","7","NYJ","NE","",
"QB","Dan Orlovsky","MIN@DET","5700","10.6","1","DET","MIN","",
"RB","Charles Sims","TB@WAS","5700","10.4","5","TB","WAS","",
"WR","Andre Johnson","NO@IND","5700","6.1","6","IND","NO","P","",
"QB","Robert Griffin III","TB@WAS","5600","10.4","9","WAS","TB","",
"TE","Jason Witten","DAL@NYG","5600","10.4","5","DAL","NYG","",
"RB","Shane Vereen","DAL@NYG","5600","8","6","NYG","DAL","",
"RB","Matt Jones","TB@WAS","5600","8.4","5","WAS","TB","P","",
"RB","Christine Michael","DAL@NYG","5600","0.3","2","DAL","NYG","",
"WR","Kamar Aiken","BAL@ARI","5600","7.6","6","BAL","ARI","",
"RB","Ryan Mathews","PHI@CAR","5600","8.4","6","PHI","CAR","",
"RB","Duke Johnson","CLE@STL","5600","8.8","6","CLE","STL","",
"RB","Alfred Morris","TB@WAS","5600","5.8","6","WAS","TB","",
"WR","Roddy White","ATL@TEN","5500","4.2","6","ATL","TEN","P","",
"QB","Ryan Nassib","DAL@NYG","5500","0.5","4","NYG","DAL","",
"TE","Jordan Cameron","HOU@MIA","5500","6.7","5","MIA","HOU","",
"RB","Darren Sproles","PHI@CAR","5500","7.5","6","PHI","CAR","",
"RB","Joique Bell","MIN@DET","5500","4.9","3","DET","MIN","P","",
"TE","Delanie Walker","ATL@TEN","5500","10.4","4","TEN","ATL","",
"QB","Matt McGloin","OAK@SD","5500","10.7","1","OAK","SD","",
"QB","Chase Daniel","PIT@KC","5400","2.6","3","KC","PIT","",
"RB","Antonio Andrews","ATL@TEN","5400","9.5","3","TEN","ATL","",
"WR","Mike Wallace","MIN@DET","5400","8.5","5","MIN","DET","",
"QB","Austin Davis","CLE@STL","5400","11.7","10","CLE","STL","",
"RB","Damien Williams","HOU@MIA","5400","2.8","5","MIA","HOU","",
"TE","Jordan Reed","TB@WAS","5400","11","4","WAS","TB","Q","",
"RB","Zach Zenner","MIN@DET","5400","1.4","6","DET","MIN","IR","",
"WR","Danny Amendola","NYJ@NE","5400","7","5","NE","NYJ","",
"RB","Benny Cunningham","CLE@STL","5400","5.6","5","STL","CLE","",
"RB","Andre Williams","DAL@NYG","5400","3.5","6","NYG","DAL","",
"WR","Malcom Floyd","OAK@SD","5400","7.5","6","SD","OAK","",
"QB","Matt Moore","HOU@MIA","5400","0.3","2","MIA","HOU","P","",
"RB","Chris Thompson","TB@WAS","5400","7.4","6","WAS","TB","DST","",
"WR","Lance Moore","MIN@DET","5400","7.1","6","DET","MIN","",
"WR","Ted Ginn Jr.","PHI@CAR","5300","9.4","5","CAR","PHI","",
"RB","Ahmad Bradshaw","NO@IND","5300","2.1","1","IND","NO","",
"RB","Tre Mason","CLE@STL","5300","2.1","4","STL","CLE","Q","",
"WR","Josh Huff","PHI@CAR","5300","5","5","PHI","CAR","P","",
"RB","Knile Davis","PIT@KC","5300","2.2","6","KC","PIT","",
"RB","C.J. Spiller","NO@IND","5300","6.5","5","NO","IND","",
"RB","David Johnson","BAL@ARI","5300","10.6","6","ARI","BAL","",
"RB","Josh Harris","PIT@KC","5300","0.3","5","PIT","KC","",
"RB","Tevin Coleman","ATL@TEN","5300","4.9","4","ATL","TEN","",
"RB","Bishop Sankey","ATL@TEN","5300","7.8","5","TEN","ATL","",
"TE","Benjamin Watson","NO@IND","5300","8.2","6","NO","IND","",
"QB","Matt Schaub","BAL@ARI","5300","0.1","11","BAL","ARI","",
"WR","Riley Cooper","PHI@CAR","5300","6.3","6","PHI","CAR","Q","",
"RB","DeAngelo Williams","PIT@KC","5300","7.6","6","PIT","KC","",
"TE","Heath Miller","PIT@KC","5200","5.6","6","PIT","KC","",
"WR","Kenny Britt","CLE@STL","5200","6","5","STL","CLE","",
"QB","Christian Ponder","OAK@SD","5200","6.7","2","OAK","SD","",
"RB","Jay Ajayi","HOU@MIA","5200","0","0","MIA","HOU","IR","",
"WR","Miles Austin","PHI@CAR","5200","3.8","6","PHI","CAR","",
"QB","Derek Anderson","PHI@CAR","5200","8.4","6","CAR","PHI","",
"RB","Dexter McCluster","ATL@TEN","5200","6.8","5","TEN","ATL","P","",
"RB","Terrence Franks","CLE@STL","5200","0","0","STL","CLE","",
"WR","Phillip Dorsett","NO@IND","5200","4.2","6","IND","NO","",
"RB","Andre Ellington","BAL@ARI","5200","10.3","3","ARI","BAL","",
"WR","Cole Beasley","DAL@NYG","5200","6.1","5","DAL","NYG","",
"TE","Larry Donnell","DAL@NYG","5200","7.1","6","NYG","DAL","",
"QB","Kellen Clemens","OAK@SD","5200","6.5","1","SD","OAK","",
"TE","Jared Cook","CLE@STL","5200","4.9","5","STL","CLE","",
"QB","Drew Stanton","BAL@ARI","5200","-0.1","2","ARI","BAL","",
"RB","Theo Riddick","MIN@DET","5200","9.7","6","DET","MIN","P","",
"RB","Javorius Allen","BAL@ARI","5100","2.8","6","BAL","ARI","",
"TE","Coby Fleener","NO@IND","5100","5.7","6","IND","NO","",
"RB","Dri Archer","PIT@KC","5100","0","6","PIT","KC","",
"RB","Michael Dyer","OAK@SD","5100","0","0","OAK","SD","",
"TE","Eric Ebron","MIN@DET","5100","9.4","4","DET","MIN","P","",
"WR","Marques Colston","NO@IND","5100","5.8","5","NO","IND","P","",
"WR","Seth Roberts","OAK@SD","5100","4.7","5","OAK","SD","",
"QB","Mike Glennon","TB@WAS","5100","15.9","6","TB","WAS","",
"WR","Andre Holmes","OAK@SD","5100","2.7","5","OAK","SD","",
"DST","Arizona Cardinals","BAL@ARI","5100","11.2","6","ARI","BAL","",
"WR","Dontrelle Inman","OAK@SD","5100","3.9","5","SD","OAK","",
"K","Stephen Gostkowski","NYJ@NE","5100","13.2","5","NE","NYJ","",
"QB","Shaun Hill","MIN@DET","5100","10.8","9","MIN","DET","",
"TE","Jacob Tamme","ATL@TEN","5100","6.5","5","ATL","TEN","",
"WR","Dorial Green-Beckham","ATL@TEN","5100","4.8","5","TEN","ATL","",
"TE","Ladarius Green","OAK@SD","5100","11","5","SD","OAK","",
"QB","T.J. Yates","ATL@TEN","5100","1.6","1","ATL","TEN","",
"TE","Dwayne Allen","NO@IND","5000","3.9","4","IND","NO","",
"TE","Kyle Rudolph","MIN@DET","5000","6.3","5","MIN","DET","",
"TE","Crockett Gillmore","BAL@ARI","5000","9.2","4","BAL","ARI","",
"WR","DeVante Parker","HOU@MIA","5000","1.4","5","MIA","HOU","",
"WR","Kenny Stills","HOU@MIA","5000","5.1","5","MIA","HOU","P","",
"WR","Jaelen Strong","HOU@MIA","5000","9.7","2","HOU","MIA","",
"WR","Aaron Dobson","NYJ@NE","5000","4.9","3","NE","NYJ","",
"RB","Jerick McKinnon","MIN@DET","5000","1.4","5","MIN","DET","",
"K","Dan Bailey","DAL@NYG","5000","7.4","5","DAL","NYG","",
"QB","Jimmy Garoppolo","NYJ@NE","5000","-0.2","2","NE","NYJ","",
"RB","Jonas Gray","HOU@MIA","5000","3","3","MIA","HOU","",
"RB","Alfred Blue","HOU@MIA","5000","5.4","6","HOU","MIA","P","",
"QB","Tim Tebow","PHI@CAR","5000","0","0","PHI","CAR","",
"RB","James White","NYJ@NE","5000","1.4","4","NE","NYJ","",
"WR","Brian Hartline","CLE@STL","5000","2.9","6","CLE","STL","",
"QB","Thaddeus Lewis","PHI@CAR","5000","0","0","PHI","CAR","",
"K","Adam Vinatieri","NO@IND","5000","5.3","6","IND","NO","",
"WR","Louis Murphy","TB@WAS","5000","4.3","5","TB","WAS","",
"QB","Ryan Lindley","NYJ@NE","5000","9.1","3","NE","NYJ","",
"WR","Dwayne Harris","DAL@NYG","5000","4.6","6","NYG","DAL","",
"TE","Anthony Fasano","ATL@TEN","5000","4.7","5","TEN","ATL","",
"TE","Zach Ertz","PHI@CAR","5000","5","6","PHI","CAR","",
"RB","Isaiah Pead","CLE@STL","4900","-0.8","2","STL","CLE","",
"WR","Michael Floyd","BAL@ARI","4900","4.7","6","ARI","BAL","",
"RB","Brandon Bolden","NYJ@NE","4900","0.5","5","NE","NYJ","Q","",
"WR","Nate Washington","HOU@MIA","4900","6.9","4","HOU","MIA","P","",
"TE","Derek Carrier","TB@WAS","4900","3.4","6","WAS","TB","",
"WR","Rannell Hall","TB@WAS","4900","0","0","TB","WAS","",
"WR","Chandler Worthy","HOU@MIA","4900","1","3","HOU","MIA","",
"K","Connor Barth","TB@WAS","4900","14","1","TB","WAS","",
"RB","Josh Robinson","NO@IND","4900","1.6","5","IND","NO","",
"WR","Dwayne Bowe","CLE@STL","4900","0","2","CLE","STL","",
"RB","Cameron Artis-Payne","PHI@CAR","4900","1","3","CAR","PHI","",
"WR","Taylor Gabriel","CLE@STL","4900","4","6","CLE","STL","",
"WR","Stedman Bailey","CLE@STL","4900","5.3","5","STL","CLE","",
"WR","Malcome Kennedy","NO@IND","4900","0","0","NO","IND","",
"TE","Scott Chandler","NYJ@NE","4900","3.8","5","NE","NYJ","",
"RB","Lorenzo Taliaferro","BAL@ARI","4900","5.4","3","BAL","ARI","IR","",
"RB","Terrance West","ATL@TEN","4900","0.6","2","TEN","ATL","",
"K","Caleb Sturgis","PHI@CAR","4900","9","3","PHI","CAR","",
"K","Chandler Catanzaro","BAL@ARI","4900","8.8","6","ARI","BAL","",
"TE","Mychal Rivera","OAK@SD","4900","2.2","5","OAK","SD","",
"K","Matt Bryant","ATL@TEN","4900","8","6","ATL","TEN","",
"WR","Darrius Heyward-Bey","PIT@KC","4900","6.9","6","PIT","KC","",
"RB","Zac Stacy","NYJ@NE","4900","4.4","4","NYJ","NE","",
